seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='space_invaders', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 40, Duration: 16.1859, Steps done w/o warmup: 102582, Epsilon: 52.94%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8969032168388367, Entropy bonus: -0.49324890971183777
Epoch: 41, Duration: 17.4312, Steps done w/o warmup: 105084, Epsilon: 52.15%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8462659120559692, Entropy bonus: -0.49591800570487976
Epoch: 42, Duration: 17.6467, Steps done w/o warmup: 107586, Epsilon: 51.37%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.186128854751587, Entropy bonus: -0.4875306785106659
Epoch: 43, Duration: 16.4222, Steps done w/o warmup: 110088, Epsilon: 50.60%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.835414707660675, Entropy bonus: -0.49732017517089844
Epoch: 44, Duration: 17.4135, Steps done w/o warmup: 112590, Epsilon: 49.85%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.753913402557373, Entropy bonus: -0.497791588306427
Epoch: 45, Duration: 16.5117, Steps done w/o warmup: 115092, Epsilon: 49.11%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8032915592193604, Entropy bonus: -0.498362272977829
Epoch: 46, Duration: 17.6451, Steps done w/o warmup: 117594, Epsilon: 48.38%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9160959720611572, Entropy bonus: -0.4937070310115814
Epoch: 47, Duration: 17.0901, Steps done w/o warmup: 120096, Epsilon: 47.66%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0221168994903564, Entropy bonus: -0.4911932945251465
Epoch: 48, Duration: 17.6045, Steps done w/o warmup: 122598, Epsilon: 46.95%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.8384872674942017, Entropy bonus: -0.49417969584465027
Epoch: 49, Duration: 16.7280, Steps done w/o warmup: 125100, Epsilon: 46.26%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9537259340286255, Entropy bonus: -0.4914340078830719
Epoch: 50, Duration: 56.6998, Steps done w/o warmup: 127602, Epsilon: 45.58%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9571287631988525, Entropy bonus: -0.49216458201408386
Epoch: 51, Duration: 18.1732, Steps done w/o warmup: 130104, Epsilon: 44.91%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.9423418641090393, Entropy bonus: -0.4922117292881012
Epoch: 52, Duration: 18.6701, Steps done w/o warmup: 132606, Epsilon: 44.25%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0344557762145996, Entropy bonus: -0.4887201488018036
Epoch: 53, Duration: 18.8786, Steps done w/o warmup: 135108, Epsilon: 43.60%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0657137632369995, Entropy bonus: -0.48945480585098267
Epoch: 54, Duration: 17.7525, Steps done w/o warmup: 137610, Epsilon: 42.96%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0017294883728027, Entropy bonus: -0.49050575494766235
Epoch: 55, Duration: 17.6907, Steps done w/o warmup: 140112, Epsilon: 42.33%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.7516857981681824, Entropy bonus: -0.4968430697917938
Epoch: 56, Duration: 16.5238, Steps done w/o warmup: 142614, Epsilon: 41.71%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.965537965297699, Entropy bonus: -0.4918389320373535
Epoch: 57, Duration: 17.7867, Steps done w/o warmup: 145116, Epsilon: 41.11%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 1.0932414531707764, Entropy bonus: -0.4877450168132782
Epoch: 58, Duration: 16.7584, Steps done w/o warmup: 147618, Epsilon: 40.51%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.6979976892471313, Entropy bonus: -0.5001479387283325
Epoch: 59, Duration: 17.7529, Steps done w/o warmup: 150120, Epsilon: 39.92%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.6159237027168274, Entropy bonus: -0.5028737187385559
Epoch: 60, Duration: 16.9607, Steps done w/o warmup: 152622, Epsilon: 39.34%, Codebook usage: 16 / 16, Transitions known: 1.30%, Usage penalty: 0.7941678166389465, Entropy bonus: -0.495720773935318
