seeds: [862559, 454354, 737532, 275105, 523498], arguments: (env_name='pong', lr=0.0002, epoch=1500, batch_size=32, eval_cycle=25, transitions=2500, episodes=2500, VQVAE_cycle=1, MDP_cycle=750, max_iterations=375, initial_iterations=12000, warmup=25000, min_visits=5, num_envs=6, debug=False)
Epoch: 39, Duration: 16.7452, Steps done w/o warmup: 100080, Epsilon: 53.75%, Codebook usage: 13 / 16, Transitions known: 33.33%, Usage penalty: 8.609691619873047, Entropy bonus: -0.3869134485721588
Epoch: 40, Duration: 19.8056, Steps done w/o warmup: 102582, Epsilon: 52.94%, Codebook usage: 13 / 16, Transitions known: 33.33%, Usage penalty: 8.536188125610352, Entropy bonus: -0.3754337430000305
Epoch: 41, Duration: 16.6455, Steps done w/o warmup: 105084, Epsilon: 52.15%, Codebook usage: 13 / 16, Transitions known: 35.09%, Usage penalty: 8.6968412399292, Entropy bonus: -0.38211244344711304
Epoch: 42, Duration: 17.0233, Steps done w/o warmup: 107586, Epsilon: 51.37%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 10.306711196899414, Entropy bonus: -0.3642990291118622
Epoch: 43, Duration: 18.6369, Steps done w/o warmup: 110088, Epsilon: 50.60%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.552742004394531, Entropy bonus: -0.3859647214412689
Epoch: 44, Duration: 17.0155, Steps done w/o warmup: 112590, Epsilon: 49.85%, Codebook usage: 13 / 16, Transitions known: 35.09%, Usage penalty: 8.559494972229004, Entropy bonus: -0.3797466456890106
Epoch: 45, Duration: 18.5237, Steps done w/o warmup: 115092, Epsilon: 49.11%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.536277770996094, Entropy bonus: -0.3875931203365326
Epoch: 46, Duration: 16.7558, Steps done w/o warmup: 117594, Epsilon: 48.38%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.56236457824707, Entropy bonus: -0.3786828815937042
Epoch: 47, Duration: 18.3765, Steps done w/o warmup: 120096, Epsilon: 47.66%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.377056121826172, Entropy bonus: -0.4043217599391937
Epoch: 48, Duration: 17.0070, Steps done w/o warmup: 122598, Epsilon: 46.95%, Codebook usage: 13 / 16, Transitions known: 35.09%, Usage penalty: 8.584100723266602, Entropy bonus: -0.3884972631931305
Epoch: 49, Duration: 17.3805, Steps done w/o warmup: 125100, Epsilon: 46.26%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.53343391418457, Entropy bonus: -0.3907647430896759
Epoch: 50, Duration: 66.5950, Steps done w/o warmup: 127602, Epsilon: 45.58%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.606971740722656, Entropy bonus: -0.37924036383628845
Epoch: 51, Duration: 18.9381, Steps done w/o warmup: 130104, Epsilon: 44.91%, Codebook usage: 14 / 16, Transitions known: 35.09%, Usage penalty: 8.514654159545898, Entropy bonus: -0.3782590627670288
Epoch: 52, Duration: 16.7392, Steps done w/o warmup: 132606, Epsilon: 44.25%, Codebook usage: 14 / 16, Transitions known: 36.84%, Usage penalty: 7.00076150894165, Entropy bonus: -0.3974258005619049
Epoch: 53, Duration: 17.6523, Steps done w/o warmup: 135108, Epsilon: 43.60%, Codebook usage: 14 / 16, Transitions known: 36.84%, Usage penalty: 7.046346664428711, Entropy bonus: -0.3809491693973541
Epoch: 54, Duration: 18.9894, Steps done w/o warmup: 137610, Epsilon: 42.96%, Codebook usage: 14 / 16, Transitions known: 36.84%, Usage penalty: 6.636147499084473, Entropy bonus: -0.41256627440452576
Epoch: 55, Duration: 17.9037, Steps done w/o warmup: 140112, Epsilon: 42.33%, Codebook usage: 14 / 16, Transitions known: 36.84%, Usage penalty: 6.732795715332031, Entropy bonus: -0.4081324636936188
Epoch: 56, Duration: 19.0389, Steps done w/o warmup: 142614, Epsilon: 41.71%, Codebook usage: 14 / 16, Transitions known: 36.84%, Usage penalty: 6.671378135681152, Entropy bonus: -0.4034874439239502
Epoch: 57, Duration: 17.6320, Steps done w/o warmup: 145116, Epsilon: 41.11%, Codebook usage: 14 / 16, Transitions known: 38.60%, Usage penalty: 7.014187812805176, Entropy bonus: -0.3808087110519409
Epoch: 58, Duration: 17.6484, Steps done w/o warmup: 147618, Epsilon: 40.51%, Codebook usage: 14 / 16, Transitions known: 38.60%, Usage penalty: 6.949620246887207, Entropy bonus: -0.385189414024353
Epoch: 59, Duration: 19.2851, Steps done w/o warmup: 150120, Epsilon: 39.92%, Codebook usage: 13 / 16, Transitions known: 40.35%, Usage penalty: 6.913663864135742, Entropy bonus: -0.3979642987251282
